,Date,Daily Max 1-hour NO2 Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,CBSA_NAME,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
526,04/22/2020,23.7,22,BUFFALO,20,83.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/22/2020,Erie,217,2450,1307,10760
527,04/22/2020,30.1,28,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/22/2020,Erie,217,2450,1307,10760
528,04/23/2020,40.3,38,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/23/2020,Erie,153,2603,982,11742
529,04/23/2020,32.2,30,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/23/2020,Erie,153,2603,982,11742
530,04/24/2020,22.6,21,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/24/2020,Erie,170,2773,872,12614
531,04/24/2020,8.2,8,Buffalo Near-Road,19,79.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/24/2020,Erie,170,2773,872,12614
532,04/25/2020,33.7,31,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/25/2020,Erie,181,2954,795,13409
533,04/25/2020,19.6,18,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/25/2020,Erie,181,2954,795,13409
534,04/26/2020,7.9,7,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/26/2020,Erie,67,3021,508,13917
535,04/26/2020,3.3,3,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/26/2020,Erie,67,3021,508,13917
536,04/27/2020,30.5,28,BUFFALO,19,79.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/27/2020,Erie,68,3089,586,14503
537,04/27/2020,21.3,20,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/27/2020,Erie,68,3089,586,14503
538,04/28/2020,33.9,31,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/28/2020,Erie,107,3196,716,15219
539,04/28/2020,21.2,20,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/28/2020,Erie,107,3196,716,15219
540,04/29/2020,10.5,9,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/29/2020,Erie,123,3319,885,16104
